,Px_inv,Px_spouse,b1(i),b2(i),Vk,P(0),P(1),P(2)
45,0.029309109239834884,0.28715026655040304,3449.9999999999995,3449.9999999999995,0.2126592409070705,1.0,0.0,0.0
46,0.022240924455556303,0.25175899619806585,3449.9999999999995,3449.9999999999995,0.20546786561069616,1.0,0.0,0.0
47,0.01651410881749511,0.21770607437231546,3449.9999999999995,3449.9999999999995,0.19851967691854702,1.0,0.0,0.0
48,0.011977022560976503,0.18540937823918247,3449.9999999999995,3449.9999999999995,0.19180645112903094,1.0,0.0,0.0
49,0.008468473571964046,0.1552581051499266,3449.9999999999995,3449.9999999999995,0.1853202426367449,1.0,0.0,0.0
50,0.0,0.12759887371746717,3449.9999999999995,3449.9999999999995,0.17905337452825595,1.0,0.0,0.0
51,0.0,0.10271709334256107,3449.9999999999995,3449.9999999999995,0.1729984294958995,1.0,0.0,0.0
52,0.0,0.08081061884539308,3449.9999999999995,3449.9999999999995,0.1671482410588401,1.0,0.0,0.0
53,0.0,0.06197932033585113,3449.9999999999995,3449.9999999999995,0.16149588508100493,1.0,0.0,0.0
54,0.0,0.04621488020842739,3449.9999999999995,3449.9999999999995,0.1560346715758502,1.0,0.0,0.0
55,0.0,0.033400418224234646,3449.9999999999995,3449.9999999999995,0.15075813678826105,1.0,0.0,0.0
56,0.0,0.02331749997070269,3449.9999999999995,3449.9999999999995,0.1456600355442136,1.0,0.0,0.0
57,0.0,0.01566516283031748,3449.9999999999995,3449.9999999999995,0.14073433385914358,1.0,0.0,0.0
58,0.0,0.010085388481786698,3449.9999999999995,3449.9999999999995,0.135975201796274,1.0,0.0,0.0
59,0.0,0.006193537920550029,3449.9999999999995,3449.9999999999995,0.13137700656644832,1.0,0.0,0.0
60,0.0,0.0036094080939589406,3449.9999999999995,3449.9999999999995,0.12693430586130275,1.0,0.0,0.0
61,0.0,0.001984669134544263,3449.9999999999995,3449.9999999999995,0.1226418414118867,1.0,0.0,0.0
62,0.0,0.0010230969388575675,3449.9999999999995,3449.9999999999995,0.11849453276510795,1.0,0.0,0.0
63,0.0,0.0004909637590189695,3449.9999999999995,3449.9999999999995,0.1144874712706357,1.0,0.0,0.0
64,0.0,0.00021760004763479748,3449.9999999999995,3449.9999999999995,0.11061591427114562,1.0,0.0,0.0
65,0.0,0.0,3449.9999999999995,3449.9999999999995,0.10687527948902958,1.0,0.0,0.0
66,0.0,0.0,3449.9999999999995,3449.9999999999995,0.10326113960292714,1.0,0.0,0.0
67,0.0,0.0,3449.9999999999995,3449.9999999999995,0.09976921700765909,1.0,0.0,0.0
68,0.0,0.0,3449.9999999999995,3449.9999999999995,0.09639537875136144,1.0,0.0,0.0
69,0.0,0.0,3449.9999999999995,3449.9999999999995,0.09313563164382749,1.0,0.0,0.0
70,0.0,0.0,3449.9999999999995,3449.9999999999995,0.08998611753026811,1.0,0.0,0.0
71,0.0,0.0,3449.9999999999995,3449.9999999999995,0.08694310872489673,1.0,0.0,0.0
72,0.0,0.0,3449.9999999999995,3449.9999999999995,0.08400300359893405,1.0,0.0,0.0
73,0.0,0.0,3449.9999999999995,3449.9999999999995,0.08116232231781068,1.0,0.0,0.0
74,0.0,0.0,3449.9999999999995,3449.9999999999995,0.0784177027225224,1.0,0.0,0.0
75,0.0,0.0,3449.9999999999995,3449.9999999999995,0.07576589635026319,1.0,0.0,0.0
76,0.0,0.0,3449.9999999999995,3449.9999999999995,0.07320376458962628,1.0,0.0,0.0
77,0.0,0.0,3449.9999999999995,3449.9999999999995,0.0707282749658225,1.0,0.0,0.0
78,0.0,0.0,3449.9999999999995,3449.9999999999995,0.06833649755151933,1.0,0.0,0.0
79,0.0,0.0,3449.9999999999995,3449.9999999999995,0.0660256014990525,1.0,0.0,0.0
80,0.0,0.0,3449.9999999999995,3449.9999999999995,0.0637928516899058,1.0,0.0,0.0
81,0.0,0.0,3449.9999999999995,3449.9999999999995,0.06163560549749353,1.0,0.0,0.0
82,0.0,0.0,3449.9999999999995,3449.9999999999995,0.05955130965941404,1.0,0.0,0.0
83,0.0,0.0,3449.9999999999995,3449.9999999999995,0.05753749725547251,1.0,0.0,0.0
84,0.0,0.0,3449.9999999999995,3449.9999999999995,0.05559178478789615,1.0,0.0,0.0
85,0.0,0.0,3449.9999999999995,3449.9999999999995,0.05371186936028614,1.0,0.0,0.0
86,0.0,0.0,3449.9999999999995,3449.9999999999995,0.05189552595196729,1.0,0.0,0.0
87,0.0,0.0,3449.9999999999995,3449.9999999999995,0.050140604784509456,1.0,0.0,0.0
88,0.0,0.0,3449.9999999999995,3449.9999999999995,0.04844502877730383,1.0,0.0,0.0
89,0.0,0.0,3449.9999999999995,3449.9999999999995,0.046806791089182447,1.0,0.0,0.0
90,0.0,0.0,3449.9999999999995,3449.9999999999995,0.045223952743171446,1.0,0.0,0.0
91,0.0,0.0,3449.9999999999995,3449.9999999999995,0.04369464033156662,1.0,0.0,0.0
92,0.0,0.0,3449.9999999999995,3449.9999999999995,0.04221704379861509,1.0,0.0,0.0
93,0.0,0.0,3449.9999999999995,3449.9999999999995,0.04078941429817884,1.0,0.0,0.0
94,0.0,0.0,3449.9999999999995,3449.9999999999995,0.03941006212384429,1.0,0.0,0.0
95,0.0,0.0,3449.9999999999995,3449.9999999999995,0.0380773547090283,1.0,0.0,0.0
96,0.0,0.0,3449.9999999999995,3449.9999999999995,0.03678971469471334,1.0,0.0,0.0
97,0.0,0.0,3449.9999999999995,3449.9999999999995,0.035545618062524965,1.0,0.0,0.0
98,0.0,0.0,3449.9999999999995,3449.9999999999995,0.034343592330942,1.0,0.0,0.0
99,0.0,0.0,3449.9999999999995,3449.9999999999995,0.03318221481250435,1.0,0.0,0.0
