ate	time	Close
12/16/1996	103	39.12
12/23/1996	104	39.61
12/30/1996	105	39
1/6/1997	106	43.52
1/13/1997	107	47.93
1/20/1997	108	54.65
1/27/1997	109	54.77
2/3/1997	110	56.73
2/10/1997	111	58.56
2/18/1997	112	53.31
2/24/1997	113	54.47
3/3/1997	114	57.46
3/10/1997	115	57.83
3/17/1997	116	55.75
3/24/1997	117	58.56
3/31/1997	118	57.58
4/7/1997	119	52.69
4/14/1997	120	47.19
4/21/1997	121	44.14
4/28/1997	122	48.41
5/5/1997	123	50.25
5/12/1997	124	48.54
5/19/1997	125	55.02
5/27/1997	126	47.19
6/2/1997	127	45.66
6/9/1997	128	47.13
6/16/1997	129	48.66
6/23/1997	130	49.64
6/30/1997	131	52.94
7/7/1997	132	53.55
7/14/1997	133	51.9
7/21/1997	134	45.24
7/28/1997	135	46.34
8/4/1997	136	45.11
8/11/1997	137	44.07
8/18/1997	138	45.24
8/25/1997	139	45.24
9/2/1997	140	48.84
9/8/1997	141	51.04
9/15/1997	142	53.18
9/22/1997	143	54.83
9/29/1997	144	63.09
10/6/1997	145	66.02
10/13/1997	146	60.15
10/20/1997	147	57.95
10/27/1997	148	55.14
11/3/1997	149	61.13
11/10/1997	150	68.28
11/17/1997	151	68.1
11/24/1997	152	66.26
12/1/1997	153	65.53
12/8/1997	154	49.58
12/15/1997	155	46.95
12/22/1997	156	45.3
12/29/1997	157	50.68
1/5/1998	158	45.42
1/12/1998	159	44.99
1/20/1998	160	53.24
1/26/1998	161	50.74
2/2/1998	162	46.7
2/9/1998	163	45.54
2/17/1998	164	45.6
2/23/1998	165	49.88
3/2/1998	166	47.41
3/9/1998	167	47.01
3/16/1998	168	46.7
3/23/1998	169	48.84
3/30/1998	170	54.53
4/6/1998	171	52.75
4/13/1998	172	54.47
4/20/1998	173	55.44
4/27/1998	174	54.41
5/4/1998	175	54.89
5/11/1998	176	55.99
5/18/1998	177	54.19
5/26/1998	178	50.98
6/1/1998	179	50.74
6/8/1998	180	47.93
6/15/1998	181	48.17
6/22/1998	182	52.94
6/29/1998	183	53.18
7/6/1998	184	55.26
7/13/1998	185	55.99
7/20/1998	186	61.62
7/27/1998	187	60.98
8/3/1998	188	57.46
8/10/1998	189	53.31
8/17/1998	190	52.57
8/24/1998	191	45.05
8/31/1998	192	41.63
9/8/1998	193	44.5
9/14/1998	194	47.01
9/21/1998	195	51
9/28/1998	196	47.62
10/5/1998	197	40.94
10/12/1998	198	47.5
10/19/1998	199	54.25
10/26/1998	200	55.62
11/2/1998	201	56.94
11/9/1998	202	54.88
11/16/1998	203	55.38
11/23/1998	204	54.94
11/30/1998	205	53.94
12/7/1998	206	52.19
12/14/1998	207	50.19
12/21/1998	208	51.06
12/28/1998	209	51.81
1/4/1999	210	60.25
1/11/1999	211	63.88
1/19/1999	212	59
1/25/1999	213	65.81
2/1/1999	214	67.06
2/8/1999	215	66.94
2/16/1999	216	64.88
2/22/1999	217	73
3/1/1999	218	76.56
3/8/1999	219	77.25
3/15/1999	220	84.56
3/22/1999	221	111.56
3/29/1999	222	137
4/5/1999	223	145.56
4/12/1999	224	142.5
4/19/1999	225	190.88
4/26/1999	226	200
5/3/1999	227	216.25
5/10/1999	228	112
5/17/1999	229	100.31
5/24/1999	230	97.25
6/1/1999	231	109.94
6/7/1999	232	108.75
6/14/1999	233	129.75
6/21/1999	234	126.75
6/28/1999	235	144.25
7/6/1999	236	148.75
7/12/1999	237	158.25
7/19/1999	238	154.69
7/26/1999	239	156
8/2/1999	240	147.75
8/9/1999	241	160
8/16/1999	242	174.94
8/23/1999	243	183.75
8/30/1999	244	163.38
9/7/1999	245	165.69
9/13/1999	246	189.94
9/20/1999	247	189.5
9/27/1999	248	186.81
10/4/1999	249	213.94
10/11/1999	250	198.5
10/18/1999	251	215.75
10/25/1999	252	222.75
11/1/1999	253	294.38
11/8/1999	254	378
11/15/1999	255	367.06
11/22/1999	256	384.75
11/29/1999	257	384.44
12/6/1999	258	391.5
12/13/1999	259	455
12/20/1999	260	466.5
